_time,value,resourceName
10/1/24 0:00,85.64,Humidity
10/1/24 4:00,84.37,Humidity
10/1/24 8:00,73.82,Humidity
10/1/24 12:00,37.54,Humidity
10/1/24 16:00,37.13,Humidity
10/1/24 20:00,69.16,Humidity
10/2/24 0:00,78.11,Humidity
10/2/24 4:00,67.78,Humidity
10/2/24 8:00,59.54,Humidity
10/2/24 12:00,39.76,Humidity
10/2/24 16:00,65.57,Humidity
10/2/24 20:00,81.08,Humidity
10/3/24 0:00,84.28,Humidity
10/3/24 4:00,87.08,Humidity
10/3/24 8:00,71.97,Humidity
10/3/24 12:00,25.14,Humidity
10/3/24 16:00,43.94,Humidity
10/3/24 20:00,67.72,Humidity
10/4/24 0:00,66.47,Humidity
10/4/24 4:00,64.25,Humidity
10/4/24 8:00,55.72,Humidity
10/4/24 12:00,30.6,Humidity
10/4/24 16:00,42.07,Humidity
10/4/24 20:00,70,Humidity
10/5/24 0:00,71.32,Humidity
10/5/24 4:00,71.96,Humidity
10/5/24 8:00,68.57,Humidity
10/5/24 12:00,42.28,Humidity
10/5/24 16:00,48.97,Humidity
10/5/24 20:00,60.4,Humidity
10/6/24 0:00,70.82,Humidity
10/6/24 4:00,80.77,Humidity
10/6/24 8:00,67.46,Humidity
10/6/24 12:00,31.72,Humidity
10/6/24 16:00,42.36,Humidity
10/6/24 20:00,70.02,Humidity
10/7/24 0:00,84.18,Humidity
10/7/24 4:00,86.53,Humidity
10/7/24 8:00,72.89,Humidity
10/7/24 12:00,34.61,Humidity
10/7/24 16:00,46.39,Humidity
10/7/24 20:00,54.1,Humidity
10/8/24 0:00,62.15,Humidity
10/8/24 4:00,68.71,Humidity
10/8/24 8:00,61.55,Humidity
10/8/24 12:00,32.76,Humidity
10/8/24 16:00,40.34,Humidity
10/8/24 20:00,81.32,Humidity
10/9/24 0:00,86.43,Humidity
10/9/24 4:00,83.16,Humidity
10/9/24 8:00,74.95,Humidity
10/9/24 12:00,33.81,Humidity
10/9/24 16:00,39.77,Humidity
10/9/24 20:00,62.08,Humidity
10/10/24 0:00,78.03,Humidity
10/10/24 4:00,62.02,Humidity
10/10/24 8:00,40.68,Humidity
10/10/24 12:00,32.19,Humidity
10/10/24 16:00,42.83,Humidity
10/10/24 20:00,67.27,Humidity
10/11/24 0:00,76.17,Humidity
10/11/24 4:00,76.74,Humidity
10/11/24 8:00,69.88,Humidity
10/11/24 12:00,42.87,Humidity
10/11/24 16:00,43.73,Humidity
10/11/24 20:00,66.89,Humidity
10/12/24 0:00,76.56,Humidity
10/12/24 4:00,82.16,Humidity
10/12/24 8:00,72.74,Humidity
10/12/24 12:00,44.27,Humidity
10/12/24 16:00,52.62,Humidity
10/12/24 20:00,71.38,Humidity
10/13/24 0:00,83.09,Humidity
10/13/24 4:00,80.68,Humidity
10/13/24 8:00,69.69,Humidity
10/13/24 12:00,36.51,Humidity
10/13/24 16:00,34.5,Humidity
10/13/24 20:00,68.09,Humidity
10/14/24 0:00,87.81,Humidity
10/14/24 4:00,89.57,Humidity
10/14/24 8:00,76.7,Humidity
10/14/24 12:00,38.17,Humidity
10/14/24 16:00,48.11,Humidity
10/14/24 20:00,66.64,Humidity
10/15/24 0:00,86.23,Humidity
10/15/24 4:00,89.04,Humidity
10/15/24 8:00,81.6,Humidity
10/15/24 12:00,24.37,Humidity
10/15/24 16:00,37.77,Humidity
10/15/24 20:00,68.93,Humidity
10/16/24 0:00,77.03,Humidity
10/16/24 4:00,83.57,Humidity
10/16/24 8:00,77.65,Humidity
10/16/24 12:00,39.23,Humidity
10/16/24 16:00,40.59,Humidity
10/16/24 20:00,67.06,Humidity
10/17/24 0:00,67.4,Humidity
10/17/24 4:00,76.25,Humidity
10/17/24 8:00,66.02,Humidity
10/17/24 12:00,42.61,Humidity
10/17/24 16:00,60.37,Humidity
10/17/24 20:00,69.95,Humidity
10/18/24 0:00,87.5,Humidity
10/18/24 4:00,87.39,Humidity
10/18/24 8:00,72.18,Humidity
10/18/24 12:00,67.31,Humidity
10/18/24 16:00,85.84,Humidity
10/18/24 20:00,85.01,Humidity
10/19/24 0:00,80.31,Humidity
10/19/24 4:00,77.11,Humidity
10/19/24 8:00,74.1,Humidity
10/19/24 12:00,52.43,Humidity
10/19/24 16:00,61.77,Humidity
10/19/24 20:00,75.65,Humidity
10/20/24 0:00,77.6,Humidity
10/20/24 4:00,80.93,Humidity
10/20/24 8:00,70.92,Humidity
10/20/24 12:00,54.25,Humidity
10/20/24 16:00,66.62,Humidity
10/20/24 20:00,76.23,Humidity
10/21/24 0:00,83.99,Humidity
10/21/24 4:00,85.68,Humidity
10/21/24 8:00,82.5,Humidity
10/21/24 12:00,56.95,Humidity
10/21/24 16:00,61.33,Humidity
10/21/24 20:00,78.17,Humidity
10/22/24 0:00,82.98,Humidity
10/22/24 4:00,85.43,Humidity
10/22/24 8:00,79.75,Humidity
10/22/24 12:00,66.53,Humidity
10/22/24 16:00,70.69,Humidity
10/22/24 20:00,89.42,Humidity
10/23/24 0:00,86.02,Humidity
10/23/24 4:00,87.92,Humidity
10/23/24 8:00,86.82,Humidity
10/23/24 12:00,64.6,Humidity
10/23/24 16:00,76.01,Humidity
10/23/24 20:00,87.69,Humidity
10/24/24 0:00,86.19,Humidity
10/24/24 4:00,87.23,Humidity
10/24/24 8:00,82.28,Humidity
10/24/24 12:00,53.84,Humidity
10/24/24 16:00,58.75,Humidity
10/24/24 20:00,74.6,Humidity
10/25/24 0:00,77.64,Humidity
10/25/24 4:00,79.14,Humidity
10/25/24 8:00,72.23,Humidity
10/25/24 12:00,44.8,Humidity
10/25/24 16:00,53.28,Humidity
10/25/24 20:00,67.32,Humidity
10/26/24 0:00,71.3,Humidity
10/26/24 4:00,72.37,Humidity
10/26/24 8:00,64.62,Humidity
10/26/24 12:00,48.25,Humidity
10/26/24 16:00,56.32,Humidity
10/26/24 20:00,78.73,Humidity
10/27/24 0:00,85.28,Humidity
10/27/24 4:00,87.01,Humidity
10/27/24 8:00,81.37,Humidity
10/27/24 12:00,63.21,Humidity
10/27/24 16:00,66.9,Humidity
10/27/24 20:00,70.51,Humidity
10/28/24 0:00,73.77,Humidity
10/28/24 4:00,77.26,Humidity
10/28/24 8:00,68.4,Humidity
10/28/24 12:00,55.87,Humidity
10/28/24 16:00,59.07,Humidity
10/28/24 20:00,76.6,Humidity
10/29/24 0:00,82.01,Humidity
10/29/24 4:00,85.42,Humidity
10/29/24 8:00,73.48,Humidity
10/29/24 12:00,53.97,Humidity
10/29/24 16:00,53.18,Humidity
10/29/24 20:00,77.45,Humidity
10/30/24 0:00,85.4,Humidity
10/30/24 4:00,86.77,Humidity
10/30/24 8:00,86.39,Humidity
10/30/24 12:00,56.15,Humidity
10/30/24 16:00,61,Humidity
10/30/24 20:00,79.11,Humidity
10/31/24 0:00,86.57,Humidity
10/31/24 4:00,85.43,Humidity
10/31/24 8:00,82.87,Humidity
10/31/24 12:00,59.42,Humidity
10/31/24 16:00,58.75,Humidity
10/31/24 20:00,82.46,Humidity
11/1/24 0:00,83.2,Humidity
11/1/24 4:00,83.88,Humidity
11/1/24 8:00,75.58,Humidity
11/1/24 12:00,51.94,Humidity
11/1/24 16:00,60.35,Humidity
11/1/24 20:00,79.22,Humidity
11/2/24 0:00,83.03,Humidity
11/2/24 4:00,82.02,Humidity
11/2/24 8:00,79.04,Humidity
11/2/24 12:00,49.21,Humidity
11/2/24 16:00,53.63,Humidity
11/2/24 20:00,78.29,Humidity
11/3/24 0:00,84.51,Humidity
11/3/24 4:00,88.9,Humidity
11/3/24 8:00,90.28,Humidity
11/3/24 12:00,55.6,Humidity
11/3/24 16:00,68.57,Humidity
11/3/24 20:00,81.69,Humidity
11/4/24 0:00,78.14,Humidity
11/4/24 4:00,88.95,Humidity
11/4/24 8:00,86.53,Humidity
11/4/24 12:00,54.13,Humidity
11/4/24 16:00,65.12,Humidity
11/4/24 20:00,85,Humidity
11/5/24 0:00,90.43,Humidity
